Type;Element;Element Method;Dependency Type;Dependency
usecase;br.ufrj.coppe.system.uc.system.student.update.UpdateStudent;br.ufrj.coppe.system.uc.system.student.update.UpdateStudentControllerImpl.loadValues(org.apache.struts.action.ActionMapping, br.ufrj.coppe.system.uc.system.student.update.LoadValuesForm, javax.servlet.http.HttpServletRequest, javax.servlet.http.HttpServletResponse);entity;br.ufrj.coppe.system.cd.Student
usecase;br.ufrj.coppe.system.uc.system.student.update.UpdateStudent;br.ufrj.coppe.system.uc.system.student.update.UpdateStudentControllerImpl.updateStudent(org.apache.struts.action.ActionMapping, br.ufrj.coppe.system.uc.system.student.update.UpdateStudentForm, javax.servlet.http.HttpServletRequest, javax.servlet.http.HttpServletResponse);service;br.ufrj.coppe.system.cs.student.StudentHandler
usecase;br.ufrj.coppe.system.uc.system.student.insert.InsertStudent;br.ufrj.coppe.system.uc.system.student.insert.InsertStudentControllerImpl.insertStudent(org.apache.struts.action.ActionMapping, br.ufrj.coppe.system.uc.system.student.insert.InsertStudentForm, javax.servlet.http.HttpServletRequest, javax.servlet.http.HttpServletResponse);entity;br.ufrj.coppe.system.cd.Student
usecase;br.ufrj.coppe.system.uc.system.student.insert.InsertStudent;br.ufrj.coppe.system.uc.system.student.insert.InsertStudentControllerImpl.insertStudent(org.apache.struts.action.ActionMapping, br.ufrj.coppe.system.uc.system.student.insert.InsertStudentForm, javax.servlet.http.HttpServletRequest, javax.servlet.http.HttpServletResponse);service;br.ufrj.coppe.system.cs.student.StudentHandler
class;accessControl.ControleAcessoImpl;accessControl.ControleAcessoImpl.adicionaPerfisListaServicos(br.gov.controleacesso.cd.ServicoCaImpl, java.util.HashMap, java.util.ArrayList);entity;br.gov.controleacesso.cd.ServicoCa
class;accessControl.ControleAcessoImpl;accessControl.ControleAcessoImpl.getOperador(java.lang.String);entity;br.gov.controleacesso.cd.OperadorCa
class;accessControl.ControleAcessoImpl;accessControl.ControleAcessoImpl.listaServicos();entity;br.gov.controleacesso.cd.PerfilOperadorCa
class;accessControl.ControleAcessoImpl;accessControl.ControleAcessoImpl.listaServicos();entity;br.gov.controleacesso.cd.PerfilOperadorServicoPerfilOrgaoCa
class;accessControl.ControleAcessoImpl;accessControl.ControleAcessoImpl.listaServicos();entity;br.gov.controleacesso.cd.ServicoCa
class;accessControl.ControleAcessoImpl;accessControl.ControleAcessoImpl.listaServicos();entity;br.gov.controleacesso.cd.ServicoPerfilOrgaoCa
class;accessControl.ControleAcessoImpl;accessControl.ControleAcessoImpl.trocaSenha(accessControl.Operador, java.lang.String, java.lang.String);entity;br.gov.controleacesso.cd.OperadorCa
usecase;br.ufrj.coppe.system.uc.system.student.read.ReadStudent;br.ufrj.coppe.system.uc.system.student.read.ReadStudentControllerImpl.loadValues(org.apache.struts.action.ActionMapping, br.ufrj.coppe.system.uc.system.student.read.LoadValuesForm, javax.servlet.http.HttpServletRequest, javax.servlet.http.HttpServletResponse);entity;br.ufrj.coppe.system.cd.Student
usecase;br.ufrj.coppe.system.uc.system.student.search.SearchStudent;br.ufrj.coppe.system.uc.system.student.search.SearchStudentControllerImpl.searchStudent(org.apache.struts.action.ActionMapping, br.ufrj.coppe.system.uc.system.student.search.SearchStudentForm, javax.servlet.http.HttpServletRequest, javax.servlet.http.HttpServletResponse);service;br.ufrj.coppe.system.cs.student.StudentHandler
service;br.ufrj.coppe.system.cs.student.StudentHandler;br.ufrj.coppe.system.cs.student.StudentHandlerBeanImpl.handleInsertStudent(br.ufrj.coppe.system.cd.Student);entity;br.ufrj.coppe.system.cd.Student
service;br.ufrj.coppe.system.cs.student.StudentHandler;br.ufrj.coppe.system.cs.student.StudentHandlerBeanImpl.handleInsertStudent(br.ufrj.coppe.system.vo.StudentVO);entity;br.ufrj.coppe.system.cd.Student
service;br.ufrj.coppe.system.cs.student.StudentHandler;br.ufrj.coppe.system.cs.student.StudentHandlerBeanImpl.handleUpdateStudent(br.ufrj.coppe.system.vo.StudentVO);entity;br.ufrj.coppe.system.cd.Student
